| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| 五险+双休 JAVA高级工程师 | 长沙·天心区·云塘理工 | 13-26K | 5-10年本科 | 同福科技 | 通信/网络设备20-99人 | https://www.zhipin.com/job_detail/b7b2dcf668c847a21XF_2du0EVBW.html |
| java开发工程师 | 长沙·雨花区·东塘 | 12-15K·13薪 | 5-10年本科 | 长沙三岩信息 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/3e1ed8107a4b99b21HNz3dS5EFNW.html |
| java中高级开发工程师 | 长沙·岳麓区·茶子山 | 20-40K | 5-10年大专 | 湖南似季旅行社 | 旅游/景区20-99人 | https://www.zhipin.com/job_detail/57fc4aaf58f8a2c71HB-29i5ElZQ.html |
| Java开发工程师（现场面试） | 长沙·岳麓区·望城坡 | 14-15K | 5-10年本科 | 极联股份 | 计算机软件未融资500-999人 | https://www.zhipin.com/job_detail/2859d2b549cd167a1Hx92dm5EFFU.html |
| 高级Java架构师-五险一金-甲方公司 | 长沙·长沙县·星沙通程广场 | 20-30K | 5-10年本科 | 中大网校 | 互联网已上市100-499人 | https://www.zhipin.com/job_detail/f8ea2919b2688fa51XZ82t60E1VU.html |
| Java | 长沙·开福区·伍家岭 | 10-15K·13薪 | 5-10年大专 | 迅云 | 计算机软件未融资20-99人 | https://www.zhipin.com/job_detail/0c8983d91c539c611HVz3N-7F1JW.html |
| java高级开发 | 长沙·天心区·省政府 | 12-18K | 5-10年本科 | 湖南大唐先一 | 计算机软件未融资500-999人 | https://www.zhipin.com/job_detail/d1864a5cd1a5d60f1HR609S8FVFT.html |
| java专家工程师 | 长沙·岳麓区·麓谷 | 15-25K | 5-10年本科 | 天威诚信 | 信息安全未融资100-499人 | https://www.zhipin.com/job_detail/92491106d95140461XJ73di8FlBW.html |
| Java中高级工程师 | 长沙 | 14-22K | 5-10年本科 | 天河国云 | 互联网A轮100-499人 | https://www.zhipin.com/job_detail/03ff40f3e48e0efb1XZy2964ElJQ.html |
| java开发工程师 | 长沙 | 14-26K | 3-5年本科 | 某计算机软件公司 | 计算机软件B轮20-99人 | https://www.zhipin.com/job_detail/cadd87925e58778a1HJ53t61EltW.html |
| Java | 长沙·开福区·月湖 | 7-12K | 5-10年本科 | 微巡 | 计算机软件未融资0-20人 | https://www.zhipin.com/job_detail/2d9166c15e9791fa1XR7296_FVo~.html |
| Java | 长沙·岳麓区·麓谷 | 12-18K·15薪 | 5-10年本科 | 苏科智能科技有限公司 | 人工智能A轮100-499人 | https://www.zhipin.com/job_detail/bb11905419f5d39c1HJ63dW-F1RT.html |
| Java开发工程师 | 长沙·岳麓区·麓谷 | 12-20K | 5-10年本科 | 惠而特 | 信息安全未融资20-99人 | https://www.zhipin.com/job_detail/f08373f6b1c3b3521n183t-4ElNZ.html |
